milk is a kind of food  & (S (NP (NN milk)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN food)))))) 
collection in water cycle is when precipitation is collected in bodies of water  & (S (NP (NP (NN collection)) (PP (IN in) (NP (NN water) (NN cycle)))) (VBZ is) (SBAR (WHADVP (WRB when)) (S (NP (NN precipitation)) (VP (VBZ is) (VP (VBN collected) (PP (IN in) (NP (NP (NNS bodies)) (PP (IN of) (NP (NN water)))))))))) 
bark is usually brown in color  & (S (NP (NNP bark)) (VP (VBZ is) (ADVP (RB usually)) (ADJP (JJ brown)) (PP (IN in) (NP (NN color))))) 
toxic chemicals are poisonous  & (S (NP (JJ toxic) (NNS chemicals)) (VP (VBP are) (ADJP (JJ poisonous)))) 
doctors belong to the medical industry  & (S (NP (NNS doctors)) (VP (VBP belong) (PP (IN to) (NP (DT the) (JJ medical) (NN industry))))) 
overproduction of corn can have a negative impact on the environment by decreasing soil fertility  & (S (NP (NP (NN overproduction)) (PP (IN of) (NP (NN corn)))) (VP (MD can) (VP (VB have) (NP (NP (DT a) (JJ negative) (NN impact)) (PP (IN on) (NP (DT the) (NN environment)))) (IN by) (S (VP (VBG decreasing) (NP (NN soil) (NN fertility))))))) 
there is a negatively  charged piece of cloth  & (S (NP (EX there)) (VP (VBZ is) (NP (NP (DT a) (ADJP (RB negatively) (VBN charged)) (NN piece)) (PP (IN of) (NP (NN cloth)))))) 
a pili is a part of a bacterium  & (S (NP (DT a) (NN pili)) (VP (VBZ is) (NP (NP (DT a) (NN part)) (PP (IN of) (NP (DT a) (NN bacterium)))))) 
making a table requires sturdy materials  & (S (S (VP (VBG making) (NP (DT a) (NN table)))) (VP (VBZ requires) (NP (JJ sturdy) (NNS materials)))) 
a paramecium conjugating causes two genetically identical cells to form  & (S (NP (DT a) (NN paramecium) (NN conjugating)) (VP (VBZ causes) (S (NP (CD two) (ADJP (RB genetically) (JJ identical)) (NNS cells)) (VP (TO to) (VP (VB form)))))) 
soda is a kind of carbonated beverage  & (S (NP (NNP soda)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (JJ carbonated) (NN beverage)))))) 
6 atoms of carbon involves in photosynthesis  & (S (NP (NP (CD 6) (NNS atoms)) (PP (IN of) (NP (NN carbon)))) (VP (VBZ involves) (PP (IN in) (NP (NN photosynthesis))))) 
adult organisms have more cells than baby organisms  & (S (NP (NN adult) (NNS organisms)) (VP (VBP have) (NP (NP (JJR more) (NNS cells)) (PP (IN than) (NP (NN baby) (NNS organisms)))))) 
an animal requires oxygen for survival  & (S (NP (DT an) (NN animal)) (VP (VBZ requires) (NP (NN oxygen)) (PP (IN for) (NP (NN survival))))) 
An example of a fossil is a paw print in rock  & (S (NP (NP (DT An) (NN example)) (PP (IN of) (NP (DT a) (NN fossil)))) (VP (VBZ is) (NP (NP (DT a) (NN paw) (NN print)) (PP (IN in) (NP (NN rock)))))) 
chemical reactions cause different substances to form  & (S (NP (NN chemical) (NNS reactions)) (VP (VBP cause) (S (NP (JJ different) (NNS substances)) (VP (TO to) (VP (VB form)))))) 
aluminum is a nonrenewable resource  & (S (NP (NNP aluminum)) (VP (VBZ is) (NP (DT a) (JJ nonrenewable) (NN resource)))) 
the formation of a kind of rock is a result of pressure squeezing sediments together  & (S (NP (NP (DT the) (NN formation)) (PP (IN of) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN rock)))))) (VP (VBZ is) (NP (NP (DT a) (NN result)) (PP (IN of) (NP (NP (NN pressure)) (VP (VBG squeezing) (NP (NNS sediments)) (ADVP (RB together)))))))) 
the opposite of the same is different  & (S (NP (NP (DT the) (NN opposite)) (PP (IN of) (NP (DT the) (JJ same)))) (VP (VBZ is) (ADJP (JJ different)))) 
chemical splashing during experiments can cause harm to the eyes  & (S (NP (NP (NN chemical) (VBG splashing)) (PP (IN during) (NP (NNS experiments)))) (VP (MD can) (VP (VB cause) (NP (NP (NN harm)) (PP (IN to) (NP (DT the) (NNS eyes))))))) 
if an object reflects a light of a certain color then the object appears to be that color  & (S (SBAR (IN if) (S (NP (DT an) (NN object)) (VP (VBZ reflects) (NP (NP (DT a) (NN light)) (PP (IN of) (NP (DT a) (JJ certain) (NN color))))))) (RB then) (NP (DT the) (NN object)) (VP (VBZ appears) (S (VP (TO to) (VP (VB be) (NP (DT that) (NN color))))))) 
radio signal is a kind of radio wave  & (S (NP (NNP radio) (NNP signal)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN radio) (NN wave)))))) 
renewable resources can be recycled many times  & (S (NP (JJ renewable) (NNS resources)) (VP (MD can) (VP (VB be) (VP (VBN recycled) (NP (JJ many) (NNS times)))))) 
fruit salad is a kind of salad  & (S (NP (NN fruit) (NN salad)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN salad)))))) 
when a girl shines a flashlight on a mirror light will shine on the mirror  & (SBARQ (WHADVP (WRB when)) (S (NP (DT a) (NN girl)) (VP (VP (VBZ shines) (NP (DT a) (NN flashlight)) (PP (IN on) (NP (DT a) (NN mirror) (NN light)))) (VP (MD will) (VP (VB shine) (PP (IN on) (NP (DT the) (NN mirror)))))))) 
a decrease in resources in an environment affects organisms in that environment  & (S (NP (NP (DT a) (NN decrease)) (PP (IN in) (NP (NNS resources))) (PP (IN in) (NP (DT an) (NN environment)))) (VP (VBZ affects) (NP (NP (NNS organisms)) (PP (IN in) (NP (DT that) (NN environment)))))) 
ice is a kind of food  & (S (NP (NN ice)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN food)))))) 
as the weight of an animal decreases that animal will fly more easily  & (SBAR (IN as) (S (NP (NP (DT the) (NN weight)) (PP (IN of) (NP (DT an) (NN animal)))) (VP (VBZ decreases) (NP (WDT that) (NN animal)) (VP (MD will) (VP (VB fly) (ADVP (RBR more) (RB easily))))))) 
using less energy in the home has a positive impact on a family s finances  & (S (S (VP (VBG using) (NP (JJR less) (NN energy)) (PP (IN in) (NP (DT the) (NN home))))) (VP (VBZ has) (NP (NP (DT a) (JJ positive) (NN impact)) (PP (IN on) (NP (DT a) (NN family) (POS s) (NNS finances)))))) 
antimony is a kind of metalloid  & (S (NP (NNP antimony)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN metalloid)))))) 
plastic is a kind of electrical insulator  & (S (NP (NN plastic)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (JJ electrical) (NN insulator)))))) 
the increase of something required by an organism has a positive impact on that organism s survival  & (S (NP (NP (DT the) (NN increase)) (PP (IN of) (NP (NP (NN something)) (VP (VBN required) (PP (IN by) (NP (DT an) (NN organism))))))) (VP (VBZ has) (NP (NP (DT a) (JJ positive) (NN impact)) (PP (IN on) (NP (DT that) (NN organism) (POS s) (NN survival)))))) 
a lake contains water  & (S (NP (DT a) (NN lake)) (VP (VBZ contains) (NP (NN water)))) 
a fly has six legs  & (S (NP (DT a) (NN fly)) (VP (VBZ has) (NP (CD six) (NNS legs)))) 
most plants provide food for themselves by performing photosynthesis  & (S (NP (JJS most) (NNS plants)) (VP (VBP provide) (NP (NN food)) (PP (IN for) (NP (PRP themselves))) (PP (IN by) (S (VP (VBG performing) (NP (NN photosynthesis))))))) 
plants of the same species have the same type of seed  & (S (NP (NP (NNS plants)) (PP (IN of) (NP (DT the) (JJ same) (NNS species)))) (VP (VBP have) (NP (NP (DT the) (JJ same) (NN type)) (PP (IN of) (NP (NN seed)))))) 
creating is a kind of activity  & (S (S (VP (VBG creating))) (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN activity))))) 
if an organism has dominant trait and one recessive gene for that trait then the organism contains both dominant and recessive genes  & (S (SBAR (IN if) (S (NP (DT an) (NN organism)) (VP (VBZ has) (NP (JJ dominant) (NN trait)) (CC and) (NP (NP (CD one) (JJ recessive) (NN gene)) (PP (IN for) (NP (DT that) (NN trait))))))) (RB then) (NP (DT the) (NN organism)) (VP (VBZ contains) (NP (ADJP (CC both) (JJ dominant) (CC and) (JJ recessive)) (NNS genes)))) 
the equator is a kind of location  & (S (NP (DT the) (NN equator)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN location)))))) 
the tide cycle occurs regularly twice per day  & (S (NP (DT the) (NN tide) (NN cycle)) (VP (VBZ occurs) (ADVP (RB regularly)) (ADVP (RB twice)) (PP (IN per) (NP (NN day))))) 
the digestive system absorbs nutrients into the blood stream  & (S (NP (DT the) (JJ digestive) (NN system)) (VP (VBZ absorbs) (NP (NNS nutrients)) (PP (IN into) (NP (DT the) (NN blood) (NN stream))))) 
feathers are not part of mammals or reptiles  & (S (NP (NNS feathers)) (VP (VBP are) (RB not) (NP (NP (NN part)) (PP (IN of) (NP (NP (NNS mammals)) (CC or) (NP (NNS reptiles))))))) 
gram is usually used to measure light weight object  & (S (NP (NNP gram)) (VP (VBZ is) (ADVP (RB usually)) (VP (VBN used) (S (VP (TO to) (VP (VB measure) (NP (JJ light) (NN weight) (NN object)))))))) 
in order to go inside place something must be smaller than or similar in size to that place  & (SBAR (IN in) (NP (NN order)) (S (VP (TO to) (VP (VP (VB go) (PP (IN inside) (NP (NN place)))) (NP (NN something)) (VP (MD must) (VP (VB be) (ADJP (ADJP (JJR smaller)) (IN than) (CC or) (JJ similar) (PP (IN in) (NP (NN size))) (PP (IN to) (NP (DT that) (NN place)))))))))) 
local means relating to a certain area  & (NP (NP (JJ local) (NNS means)) (VP (VBG relating) (PP (IN to) (NP (DT a) (JJ certain) (NN area))))) 
the main function of the vomiting reflex is to remove toxic material from the stomach before it is absorbed  & (S (NP (NP (DT the) (JJ main) (NN function)) (PP (IN of) (NP (DT the) (NN vomiting) (NN reflex)))) (VP (VBZ is) (S (VP (TO to) (VP (VB remove) (NP (JJ toxic) (NN material)) (PP (IN from) (NP (DT the) (NN stomach))) (SBAR (IN before) (S (NP (PRP it)) (VP (VBZ is) (VP (VBN absorbed)))))))))) 
solar cells are a source of energy  & (S (NP (JJ solar) (NNS cells)) (VP (VBP are) (NP (NP (DT a) (NN source)) (PP (IN of) (NP (NN energy)))))) 
when the season changes the amount of daylight will change  & (SBAR (WHADVP (WRB when)) (S (NP (DT the) (NN season)) (VP (VBZ changes) (SBAR (S (NP (NP (DT the) (NN amount)) (PP (IN of) (NP (NN daylight)))) (VP (MD will) (VP (VB change)))))))) 
ocean animals are a kind of water animals living in oceans  & (S (NP (NN ocean) (NNS animals)) (VP (VBP are) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NP (NN water) (NNS animals)) (VP (VBG living) (PP (IN in) (NP (NNS oceans))))))))) 
neutral means 7 in ph  & (S (NP (NNP neutral)) (VP (VBZ means) (NP (CD 7)) (PP (IN in) (NP (NNP ph))))) 
genes are unable to determine the acquired characteristics of a living thing  & (S (NP (NNS genes)) (VBP are) (ADJP (JJ unable) (S (VP (TO to) (VP (VB determine) (NP (NP (DT the) (VBN acquired) (NNS characteristics)) (PP (IN of) (NP (DT a) (VBG living) (NN thing))))))))) 
amphibians hatch from eggs  & (S (NP (NNPS amphibians)) (VP (VBP hatch) (PP (IN from) (NP (NNS eggs))))) 
refraction is a kind of process  & (S (NP (NN refraction)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN process)))))) 
a glacier is cold in temperature  & (S (NP (DT a) (NN glacier)) (VP (VBZ is) (ADJP (JJ cold) (PP (IN in) (NP (NN temperature)))))) 
producers convert solar energy and raw materials into food  & (S (NP (NNS producers)) (VP (VBP convert) (NP (NP (JJ solar) (NN energy)) (CC and) (NP (JJ raw) (NNS materials))) (PP (IN into) (NP (NN food))))) 
the large cold front passing the school will cause thunderstorms  & (S (NP (NP (DT the) (JJ large) (JJ cold) (NN front)) (VP (VBG passing) (NP (DT the) (NN school)))) (VP (MD will) (VP (VB cause) (NP (NNS thunderstorms))))) 
wastewater treatment is a kind of method  & (S (NP (NNP wastewater) (NN treatment)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN method)))))) 
bone is hard  & (S (NP (NN bone)) (VP (VBZ is) (ADJP (JJ hard)))) 
ice will change into a liquid when it melts  & (S (NP (NN ice)) (VP (MD will) (VP (VB change) (PP (IN into) (NP (DT a) (NN liquid))) (SBAR (WHADVP (WRB when)) (S (NP (PRP it)) (VP (VBZ melts))))))) 
air pollution causes a slow change in ecosystem  & (S (NP (NNP air) (NNP pollution)) (VP (VBZ causes) (NP (NP (DT a) (JJ slow) (NN change)) (PP (IN in) (NP (NN ecosystem)))))) 
the formation of fossil fuels is a kind of process  & (S (NP (NP (DT the) (NN formation)) (PP (IN of) (NP (JJ fossil) (NNS fuels)))) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN process)))))) 
if the surface of an object contains something then that object is covered with that something  & (SBAR (IN if) (S (NP (NP (DT the) (NN surface)) (PP (IN of) (NP (DT an) (NN object)))) (VBZ contains) (NP (NN something))) (ADVP (RB then)) (NP (DT that) (NN object)) (VP (VBZ is) (VP (VBN covered) (PP (IN with) (NP (DT that) (NN something)))))) 
In the formation of sedimentary rock burying the sediments follows depositing the sediments  & (S (PP (IN In) (NP (NP (DT the) (NN formation)) (PP (IN of) (NP (NP (JJ sedimentary) (NN rock)) (VP (VBG burying) (NP (DT the) (NNS sediments))))))) (VP (VBZ follows) (S (VP (VBG depositing) (NP (DT the) (NNS sediments)))))) 
transpiration transfers the water vapor making up clouds from plants into atmosphere  & (NP (NP (NN transpiration) (NNS transfers)) (NP (NP (DT the) (NN water) (NN vapor)) (VP (VBG making) (PRT (RP up)) (NP (NNS clouds)) (PP (IN from) (NP (NNS plants))) (PP (IN into) (NP (NN atmosphere)))))) 
boiling point is the highest temperature a liquid can reach  & (S (NP (NN boiling) (NN point)) (VP (VBZ is) (NP (NP (DT the) (JJS highest) (NN temperature)) (SBAR (S (NP (DT a) (NN liquid)) (VP (MD can) (VP (VB reach)))))))) 
organic sedimentary is formed by the remains of organims and sediments compressed together  & (S (NP (NNP organic) (NNP sedimentary)) (VP (VBZ is) (VP (VBN formed) (PP (IN by) (NP (NP (DT the) (NNS remains)) (IN of) (NP (NNS organims) (CC and) (NNS sediments)) (VP (VBN compressed) (ADVP (RB together)))))))) 
sunlight can travel through an opening  & (S (NP (NN sunlight)) (VP (MD can) (VP (VB travel) (PP (IN through) (NP (DT an) (NN opening)))))) 
plants are a part of the environment  & (S (NP (NNS plants)) (VP (VBP are) (NP (NP (DT a) (NN part)) (PP (IN of) (NP (DT the) (NN environment)))))) 
the force of gravity on the solid object will change  & (S (NP (NP (DT the) (NN force)) (PP (IN of) (NP (NN gravity))) (PP (IN on) (NP (DT the) (JJ solid) (NN object)))) (VP (MD will) (VP (VB change)))) 
matter is always conserved in any physical process  & (S (NP (NNP matter)) (VP (VBZ is) (ADVP (RB always)) (VP (VBN conserved) (PP (IN in) (NP (DT any) (JJ physical) (NN process)))))) 
if an object has a larger mass than another object then the object has more inertia than the other object  & (S (SBAR (IN if) (S (NP (DT an) (NN object)) (VP (VBZ has) (NP (DT a) (JJR larger) (NN mass)) (PP (IN than) (NP (DT another) (NN object)))))) (RB then) (NP (DT the) (NN object)) (VP (VBZ has) (NP (NP (JJR more) (NN inertia)) (PP (IN than) (NP (DT the) (JJ other) (NN object)))))) 
out is synonymous with outside  & (S (ADVP (RB out)) (VP (VBZ is) (ADJP (JJ synonymous) (PP (IN with) (NP (JJ outside)))))) 
walking is a kind of motion  & (S (S (VP (VBG walking))) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN motion)))))) 
a plant s roots causing weathering is an example of a living thing causing weathering  & (S (NP (NP (DT a) (NN plant) (POS s) (NNS roots)) (VP (VBG causing) (NP (NN weathering)))) (VP (VBZ is) (NP (NP (DT an) (NN example)) (PP (IN of) (NP (NP (DT a) (VBG living) (NN thing)) (VP (VBG causing) (NP (NN weathering)))))))) 
humans are a kind of organism  & (S (NP (NNS humans)) (VP (VBP are) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN organism)))))) 
a flashlight is a kind of electrical device  & (S (NP (DT a) (NN flashlight)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (JJ electrical) (NN device)))))) 
a solid object is heated  & (S (NP (DT a) (JJ solid) (NN object)) (VP (VBZ is) (ADJP (JJ heated)))) 
spots are a part of a lady bug  & (S (NP (NNS spots)) (VP (VBP are) (NP (NP (DT a) (NN part)) (PP (IN of) (NP (DT a) (NN lady) (NN bug)))))) 
spots are a part of some organisms  & (S (NP (NNS spots)) (VP (VBP are) (NP (NP (DT a) (NN part)) (PP (IN of) (NP (DT some) (NNS organisms)))))) 
dna are a vehicle for passing genes from parent to offspring  & (S (NP (NNP dna)) (VP (VBP are) (NP (NP (DT a) (NN vehicle)) (PP (IN for) (S (VP (VBG passing) (NP (NNS genes)) (PP (IN from) (NP (NN parent))) (PP (IN to) (NP (NN offspring))))))))) 
recycling plants helps conserve resources  & (S (NP (NN recycling) (NNS plants)) (VP (VBZ helps) (S (VP (VB conserve) (NP (NNS resources)))))) 
the Southern Hemisphere is located south to the Northern Hemisphere  & (S (NP (DT the) (NNP Southern) (NNP Hemisphere)) (VP (VBZ is) (VP (VBN located) (RB south) (PP (IN to) (NP (DT the) (NNP Northern) (NNP Hemisphere)))))) 
sunlight produces heat  & (S (NP (NNP sunlight)) (VP (VBZ produces) (NP (NN heat)))) 
as the use of a resource decreases the length of time that resource being available will increases  & (SBAR (IN as) (S (NP (NP (DT the) (NN use)) (PP (IN of) (NP (DT a) (NN resource)))) (VP (VBZ decreases) (NP (NP (DT the) (NN length)) (IN of) (NP (NN time)) (SBAR (S (NP (NP (DT that) (NN resource)) (VP (VBG being) (ADJP (JJ available)))) (VP (MD will) (VP (NNS increases))))))))) 
alcohol is a kind of liquid  & (S (NP (NN alcohol)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN liquid)))))) 
magnifying makes seeing small things easier  & (S (NP (NN magnifying)) (VP (VBZ makes) (S (VP (VBG seeing) (S (NP (JJ small) (NNS things)) (ADJP (JJR easier))))))) 
a fallen leaf is a kind of dead organism  & (S (NP (DT a) (VBN fallen) (NN leaf)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (JJ dead) (NN organism)))))) 
a convex lens will cause the light to refract when the light passes through the convex lens  & (S (NP (DT a) (NNP convex) (NN lens)) (VP (MD will) (VP (VB cause) (S (S (NP (DT the) (NN light)) (VP (TO to) (VP (VB refract)))) (SBAR (WHADVP (WRB when)) (S (NP (DT the) (NN light)) (VP (VBZ passes) (PP (IN through) (NP (DT the) (NNP convex) (NNP lens)))))))))) 
rust forming is a kind of chemical change  & (S (NP (NP (NN rust)) (VP (VBG forming))) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (JJ chemical) (NN change)))))) 
eye color is an inherited characteristic of human  & (S (NP (NN eye) (NN color)) (VP (VBZ is) (NP (NP (DT an) (VBN inherited) (NN characteristic)) (PP (IN of) (NP (NN human)))))) 
if studying something is used to learn about something then that something is a source of information  & (SBAR (IN if) (S (VP (VBG studying) (NP (NN something)))) (VP (VBZ is) (VBN used) (S (VP (TO to) (VP (VB learn) (PP (IN about) (NP (NN something)))))) (ADVP (RB then)) (IN that) (S (NP (NN something)) (VP (VBZ is) (NP (NP (DT a) (NN source)) (PP (IN of) (NP (NN information)))))))) 
being unhealthy has a negative impact on an organism  & (S (S (VP (VBG being) (ADJP (JJ unhealthy)))) (VBZ has) (NP (NP (DT a) (JJ negative) (NN impact)) (PP (IN on) (NP (DT an) (NN organism))))) 
some animals move quickly to escape predators  & (S (NP (DT some) (NNS animals)) (VP (VBP move) (ADVP (RB quickly)) (S (VP (TO to) (VP (VB escape) (NP (NNS predators))))))) 
bears eating berries that contain seeds has a positive impact on plants by spreading those seeds  & (S (NP (NP (NNS bears)) (VP (VBG eating) (NP (NP (NNS berries)) (SBAR (WHNP (WDT that)) (S (VP (VBP contain) (NP (NNS seeds)))))))) (VP (VBZ has) (NP (NP (DT a) (JJ positive) (NN impact)) (PP (IN on) (NP (NNS plants)))) (IN by) (S (VP (VBG spreading) (NP (DT those) (NNS seeds)))))) 
the height of a roller coaster car is known  & (S (NP (NP (DT the) (NN height)) (PP (IN of) (NP (DT a) (NN roller) (NN coaster) (NN car)))) (VP (VBZ is) (VP (VBN known)))) 
a robin eats a cricket  & (S (NP (DT a) (NN robin)) (VP (VBZ eats) (NP (DT a) (NN cricket)))) 
an example of managing the number of a resource is replacing that resource  & (S (NP (NP (DT an) (NN example)) (PP (IN of) (S (VP (VBG managing) (NP (NP (DT the) (NN number)) (PP (IN of) (NP (DT a) (NN resource)))))))) (VP (VBZ is) (VP (VBG replacing) (NP (DT that) (NN resource))))) 
cooking is a kind of process  & (S (NP (NN cooking)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN process)))))) 
an ecosystem is a kind of object  & (S (NP (DT an) (NN ecosystem)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN object)))))) 
a prairie dog is a kind of animal  & (S (NP (DT a) (NN prairie) (NN dog)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN animal)))))) 
a plant stem transports water and food from the roots to the rest of the plant  & (S (NP (DT a) (NN plant) (NN stem)) (VP (NNS transports) (NP (NN water) (CC and) (NN food)) (PP (IN from) (NP (DT the) (NNS roots))) (PP (IN to) (NP (NP (DT the) (NN rest)) (PP (IN of) (NP (DT the) (NN plant))))))) 
visible light is a kind of electromagnetic wave  & (S (NP (JJ visible) (NN light)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (JJ electromagnetic) (NN wave)))))) 
a metal can is made of metal  & (S (NP (DT a) (NN metal) (MD can)) (VP (VBZ is) (VP (VBN made) (PP (IN of) (NP (NN metal)))))) 
fur is usually part of a mammal  & (S (NP (NN fur)) (VP (VBZ is) (ADVP (RB usually)) (NP (NP (NN part)) (PP (IN of) (NP (DT a) (NN mammal)))))) 
a forest contains a large amount of wood  & (S (NP (DT a) (NN forest)) (VP (VBZ contains) (NP (NP (DT a) (JJ large) (NN amount)) (PP (IN of) (NP (NN wood)))))) 
volume is a property of matter that describes the amount of that matter  & (S (NP (NN volume)) (VBZ is) (NP (NP (DT a) (NN property)) (PP (IN of) (NP (NN matter))) (WHNP (WDT that)) (S (VP (VBZ describes) (NP (NP (DT the) (NN amount)) (PP (IN of) (NP (DT that) (NN matter)))))))) 
nitrogen and oxygen make up 99  of the earth s atmosphere by volume  & (S (NP (NNP nitrogen) (CC and) (NN oxygen)) (VP (VBP make) (PRT (RP up)) (NP (NP (CD 99)) (PP (IN of) (NP (DT the) (NN earth) (POS s) (NN atmosphere)))) (PP (IN by) (NP (NN volume))))) 
a stream is a kind of environment  & (S (NP (DT a) (NN stream)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN environment)))))) 
a gravel pit contains gravel  & (S (NP (DT a) (NN gravel) (NN pit)) (VP (VBZ contains) (NP (NN gravel)))) 
